question,ground_truth
"Berapa total alokasi belanja negara yang ditetapkan dalam APBN TA 2025?","Total alokasi belanja negara dalam APBN TA 2025 ditetapkan sebesar Rp3.621,3 triliun."
"Apa yang harus dilakukan jika status verifikasi ajuan adalah 'Menunggu verifikasi'?","Mahasiswa harus menunggu proses verifikasi oleh operator fakultas, namun jika ada komentar perbaikan, mahasiswa bisa mengklik tombol 'Edit Ajuan'."
"Siapa yang menandatangani instruksi efisiensi belanja S-37/MK.02/2025?","Surat ditandatangani oleh Menteri Keuangan, Sri Mulyani Indrawati."
"Berapa minimal IPK untuk pelamar kategori Mahasiswa Berprestasi?","Minimal IPK untuk kategori Mahasiswa Berprestasi adalah 3,50 pada semester ganjil TA 2024/2025."
"Siapa pengembang aplikasi SPK-Driver?","Aplikasi dikembangkan oleh Teknologi Informasi & Komunikasi UNDIKSHA."
"Berapa lama jangka waktu penyimpanan (retensi) arsip untuk Informasi Lelang?","5 (lima) tahun kemudian musnah."
"Siapa Ketua Duta Keterbukaan Informasi Publik (KIP) Mahasiswa Undiksha Tahun 2025?","Ketua yang ditetapkan adalah Komang Danda Widya Anugrah."
"Apa kewajiban publikasi bagi mahasiswa Program Doktor?","Wajib memiliki publikasi artikel ilmiah paling rendah pada jurnal internasional bereputasi terindeks Scopus (SJR >= 0,1) atau Web of Science (JIF >= 0,05)."
"Apa instruksi spesifik kepada Kementerian/Lembaga terkait proses perikatan atau kontrak barang/jasa sambil menunggu arah kebijakan strategis?","Kementerian/Lembaga diminta untuk melakukan penundaan sementara untuk proses perikatan/kontrak barang/jasa, terutama dari jenis belanja barang dan belanja modal."
"Siapa personel yang bertugas dalam Penyelesaian Sengketa?","Personelnya adalah I Wayan Krisna Eka Putra, I Gede Putu Banu Astawa, Komang Endrawan Sumadi Putra, dan Si Ngurah Ardhya."
